0.38, 0.0989821
0.37, 0.111115
0.36, 0.0780406
0.35, 0.073361
0.34, 0.0870783
0.33, 0.0594916
0.32, 0.0574403
0.31, 0.0752925
0.3, 0.0424686
0.29, 0.0541863
0.28, 0.042046
0.27, 0.0344864
0.26, 0.036101
0.25, 0.0253984
0.24, 0.0208108
0.23, 0.0110695
0.22, 0.0147961
0.21, 0.0408189
0.2, 0.00514569
0.19, 0.00730175
0.18, 0
0.17, 0
0.16, 0
0.15, 0.00651908
0.149, 0
0.148, 0.00667837
0.147, 0
0.146, 0
0.145, 0
0.144, 0
0.143, 0.0076386
0.142, 0
0.141, 0.00355897
0.14, 0.00560446
0.139, 0
0.138, 0
0.137, 0
0.136, 0
0.135, 0
0.134, 0
0.133, 0
0.132, 0
0.131, 0
0.13, 0
0.129, 0
0.128, 0
0.127, 0
0.126, 0
0.125, 0
0.124, 0
0.123, 0
0.122, 0
0.121, 0
0.12, 0
0.119, 0
0.118, 0
0.117, 0
0.116, 0
0.115, 0
0.114, 0
0.113, 0
0.112, 0
0.111, 0
0.11, 0
0.109, 0
0.108, 0
0.107, 0
0.106, 0
0.105, 0
0.104, 0
0.103, 0
0.102, 0
0.101, 0
0.1, 0
0.099, 0
0.098, 0
0.097, 0
0.096, 0
0.095, 0
0.094, 0
0.093, 0
0.092, 0
0.091, 0
0.09, 0
0.089, 0
0.088, 0
0.087, 0
0.086, 0
0.085, 0
0.084, 0
0.083, 0
0.082, 0
0.081, 0
0.08, 0
0.079, 0
0.078, 0
0.077, 0
0.076, 0
0.075, 0
0.074, 0
0.073, 0
0.072, 0
0.071, 0
0.07, 0
0.069, 0
0.068, 0
0.067, 0
0.066, 0
0.065, 0
0.064, 0
0.063, 0
0.062, 0
0.061, 0
0.06, 0
0.059, 0
0.058, 0
0.057, 0
0.056, 0
0.055, 0
0.054, 0
0.053, 0
0.052, 0
0.051, 0
0.05, 0
0.049, 0
0.048, 0
0.047, 0
0.046, 0
0.045, 0
0.044, 0
0.043, 0
0.042, 0
0.041, 0
0.04, 0
0.039, 0
0.038, 0
0.037, 0
0.036, 0
0.035, 0
0.034, 0
0.033, 0
0.032, 0
0.031, 0
0.03, 0
0.029, 0
0.028, 0
0.027, 0
0.026, 0
0.025, 0
